id,player,session,level,action,time,timestamp,"replace(state,char(13),' ')"
83193,188405223,C06EDD2F4F7B9DC56CC3B0A0D29CAB2C,Densidad_de_Objetos,0,0,"2020-11-25 03:02:16.317498","Inicio del nivel;Player 1: a; Player2: b"
83194,188405223,C06EDD2F4F7B9DC56CC3B0A0D29CAB2C,Densidad_de_Objetos,3,3,"2020-11-25 03:02:23.552131","Final del nivel"
83195,188405223,C06EDD2F4F7B9DC56CC3B0A0D29CAB2C,Densidad_de_Objetos,3,3,"2020-11-25 03:02:36.348156","Puntaje Total: 12830"
83196,188405223,C06EDD2F4F7B9DC56CC3B0A0D29CAB2C,Union_Interseccion,0,0,"2020-11-25 03:02:36.404015","Inicio del nivel;Player 1: a; Player2: b"
83197,188405223,C06EDD2F4F7B9DC56CC3B0A0D29CAB2C,Union_Interseccion,3,2,"2020-11-25 03:02:54.908030","Final del nivel"
83198,188405223,C06EDD2F4F7B9DC56CC3B0A0D29CAB2C,Union_Interseccion,3,2,"2020-11-25 03:03:26.499972","Puntaje Total: 38540"
83199,188405223,C06EDD2F4F7B9DC56CC3B0A0D29CAB2C,Velocidad_y_fuerza,0,0,"2020-11-25 03:03:26.693157","Inicio del nivel;Player 1: a; Player2: b"
83200,188405223,5AE58CAC4C3BB81C7AB0FAB9BEDA3C9F,Densidad_de_Objetos,0,0,"2020-11-25 03:13:06.230658","Inicio del nivel;Player 1: a; Player2: b"
83201,188405223,5AE58CAC4C3BB81C7AB0FAB9BEDA3C9F,Densidad_de_Objetos,3,3,"2020-11-25 03:13:17.213890","Final del nivel"
83202,188405223,5AE58CAC4C3BB81C7AB0FAB9BEDA3C9F,Densidad_de_Objetos,3,3,"2020-11-25 03:13:29.651597","Puntaje Total: 12830"
83203,188405223,5AE58CAC4C3BB81C7AB0FAB9BEDA3C9F,Union_Interseccion,0,0,"2020-11-25 03:13:29.822953","Inicio del nivel;Player 1: a; Player2: b"
83204,188405223,5AE58CAC4C3BB81C7AB0FAB9BEDA3C9F,Union_Interseccion,1,1,"2020-11-25 03:13:54.816820","Boton0;Set to TRUE; Player 0"
83205,188405223,5AE58CAC4C3BB81C7AB0FAB9BEDA3C9F,Union_Interseccion,1,9,"2020-11-25 03:14:03.153869","Boton2;Set to TRUE; Player 0"
83206,188405223,5AE58CAC4C3BB81C7AB0FAB9BEDA3C9F,Union_Interseccion,1,12,"2020-11-25 03:14:05.204589","Boton3;Set to TRUE; Player 1"
83207,188405223,5AE58CAC4C3BB81C7AB0FAB9BEDA3C9F,Union_Interseccion,1,16,"2020-11-25 03:14:09.017018","Boton5;Set to TRUE; Player 0"
83208,188405223,5AE58CAC4C3BB81C7AB0FAB9BEDA3C9F,Union_Interseccion,1,17,"2020-11-25 03:14:10.659502","Boton6;Set to TRUE; Player 0"
83209,188405223,5AE58CAC4C3BB81C7AB0FAB9BEDA3C9F,Union_Interseccion,1,20,"2020-11-25 03:14:13.391121","Boton7;Set to TRUE; Player 1"
83210,188405223,5AE58CAC4C3BB81C7AB0FAB9BEDA3C9F,Union_Interseccion,3,20,"2020-11-25 03:14:13.749698","Final del nivel"
83211,188405223,5AE58CAC4C3BB81C7AB0FAB9BEDA3C9F,Union_Interseccion,3,20,"2020-11-25 03:14:35.836055","Puntaje Total: 37380"
83212,188405223,5AE58CAC4C3BB81C7AB0FAB9BEDA3C9F,Velocidad_y_fuerza,0,0,"2020-11-25 03:14:36.020898","Inicio del nivel;Player 1: a; Player2: b"
83213,188405223,F9163FC74A7E70D468057C9ED5D2E74E,Densidad_de_Objetos,0,0,"2020-11-25 03:16:33.219347","Inicio del nivel;Player 1: a; Player2: b"
83214,188405223,F9163FC74A7E70D468057C9ED5D2E74E,Densidad_de_Objetos,3,1,"2020-11-25 03:16:37.362940","Final del nivel"
83215,188405223,F9163FC74A7E70D468057C9ED5D2E74E,Densidad_de_Objetos,3,1,"2020-11-25 03:16:50.377530","Puntaje Total: 12950"
83216,188405223,F9163FC74A7E70D468057C9ED5D2E74E,Union_Interseccion,0,0,"2020-11-25 03:16:50.446172","Inicio del nivel;Player 1: a; Player2: b"
83217,188405223,F9163FC74A7E70D468057C9ED5D2E74E,Union_Interseccion,1,1,"2020-11-25 03:16:54.538358","Boton0;Set to TRUE; Player 0"
83218,188405223,F9163FC74A7E70D468057C9ED5D2E74E,Union_Interseccion,1,7,"2020-11-25 03:17:01.733113","Boton2;Set to TRUE; Player 0"
83219,188405223,F9163FC74A7E70D468057C9ED5D2E74E,Union_Interseccion,1,9,"2020-11-25 03:17:02.835953","Boton3;Set to TRUE; Player 1"
83220,188405223,F9163FC74A7E70D468057C9ED5D2E74E,Union_Interseccion,1,13,"2020-11-25 03:17:07.290487","Boton5;Set to TRUE; Player 0"
83221,188405223,F9163FC74A7E70D468057C9ED5D2E74E,Union_Interseccion,1,15,"2020-11-25 03:17:08.610251","Boton6;Set to TRUE; Player 1"
83222,188405223,F9163FC74A7E70D468057C9ED5D2E74E,Union_Interseccion,1,17,"2020-11-25 03:17:10.705696","Boton7;Set to TRUE; Player 1"
83223,188405223,F9163FC74A7E70D468057C9ED5D2E74E,Union_Interseccion,3,17,"2020-11-25 03:17:11.060892","Final del nivel"
